Trees,Time,AUC
100,-1.8579998016357422,0.6824788998370475
110,-1.4400010108947754,0.6825563697501593
120,-1.4080002307891846,0.6833070855311569
130,-1.621997594833374,0.6839071284032414
140,-1.7520020008087158,0.6838576767900869
150,-1.7059991359710693,0.6840661978926643
160,-1.7479994297027588,0.6843161432494747
170,-1.7850000858306885,0.684571764986876
180,-1.8399968147277832,0.6856142428775182
190,-1.8910002708435059,0.6869636675169486
200,-2.6669983863830566,0.6867805063188936
210,-2.6570029258728027,0.6872898956591993
220,-2.8339974880218506,0.6872509170966605
230,-3.0390005111694336,0.687522125603675
240,-3.0160000324249268,0.6875013496654361
250,-3.0487043857574463,0.6875668327194204
260,-3.233919143676758,0.6881775709777295
270,-3.2259984016418457,0.688386981422741
280,-3.4119985103607178,0.6886864731060697
290,-4.251222848892212,0.688749955139577
300,-7.669612407684326,0.6888265357102549
310,-7.763999938964844,0.6885579526897949
320,-3.7870025634765625,0.6890562774222881
330,-4.096999883651733,0.6888013226917122
340,-3.9549994468688965,0.6893368994744912
350,-4.127000331878662,0.6896136992806003
360,-4.3329973220825195,0.6894856235355427
370,-4.6800010204315186,0.6896549011992247
380,-4.561999559402466,0.6895598531278901
390,-4.547999382019043,0.6897298828798942
400,-4.552999258041382,0.6903011128229508
410,-4.683999300003052,0.690011479356028
420,-5.151000738143921,0.6899669945758908
430,-5.612109184265137,0.6902230184437613
440,-5.40298056602478,0.6899487494108428
450,-4.8750715255737305,0.6900684807480062
460,-5.08099889755249,0.6895579893615253
470,-5.291000127792358,0.690663282278849
480,-5.143001556396484,0.6905538963700566
490,-5.147997856140137,0.689636031568099
500,-5.57599949836731,0.6894770993327883
510,-5.337887763977051,0.690221821684222
520,-13.645248651504517,0.6905271695430024
530,-7.74602484703064,0.6903250769093384
540,-5.510998725891113,0.6900073922335773
550,-5.600998401641846,0.6906140859101839
560,-5.657246351242065,0.6902893482994319
570,-6.465998649597168,0.6911168148141
580,-5.996997594833374,0.6908618600835241
590,-5.947996377944946,0.6900313234110843
600,-6.822002410888672,0.6908679385945843
610,-6.133999347686768,0.6913495745112892
620,-6.409006595611572,0.6900302542737897
630,-6.531706809997559,0.6905294258079688
640,-6.731997013092041,0.6911151212107278
650,-7.177003622055054,0.691519963853014
660,-6.856000900268555,0.6906169762730952
670,-6.982000827789307,0.690920143316538
680,-7.055788278579712,0.690278780535452
690,-7.2629992961883545,0.6903693297219994
700,-7.139999866485596,0.6901095454125185
710,-7.185000658035278,0.6909922868069118
720,-7.311999320983887,0.6902143144461466
730,-7.587352514266968,0.6911866827757724
740,-8.328332662582397,0.6909799403580636
750,-8.006003141403198,0.6905415499212084
760,-7.667998313903809,0.6906901367281479
770,-7.697997331619263,0.6909399873715942
780,-7.897525072097778,0.6892600965682049
790,-8.274282455444336,0.6907702224959471
800,-8.531998634338379,0.6912472415374877
810,-8.0239999294281,0.6907988556301146
820,-8.099001407623291,0.6913006855597289
830,-8.783018112182617,0.6914772055851295
840,-8.822997331619263,0.691331192092129
850,-8.750001907348633,0.6907017214568066
860,-8.73600149154663,0.690825412294176
870,-8.969392538070679,0.6910933283078101
880,-9.008404016494751,0.6920814110292934
890,-8.849000215530396,0.6910473297191613
900,-8.917996168136597,0.6913455821022024
910,-9.035998821258545,0.6919446312866213
920,-9.37576675415039,0.6912021844638889
930,-9.214005470275879,0.6920026167343977
940,-9.274999380111694,0.6906203442161043
950,-9.594000101089478,0.6910405416605271
960,-9.420598030090332,0.6909996046182596
970,-9.703134298324585,0.6909200582350415
980,-9.719998121261597,0.6911532200626996
990,-9.52099609375,0.6914347643662178
