iter	Passed	Remaining
402	12277	17883
403	12308	17853
404	12337	17820
405	12368	17790
406	12397	17758
407	12427	17726
408	12459	17698
409	12489	17667
410	12517	17633
411	12548	17604
412	12579	17575
413	12610	17545
414	12641	17515
415	12672	17485
416	12703	17455
417	12733	17425
418	12763	17393
419	12793	17362
420	12826	17335
421	12858	17307
422	12892	17281
423	12922	17250
424	12953	17220
425	12984	17191
426	13014	17159
427	13044	17128
428	13075	17099
429	13106	17069
430	13141	17044
431	13172	17015
432	13203	16985
433	13237	16958
434	13266	16926
435	13302	16902
436	13333	16872
437	13363	16841
438	13390	16806
439	13422	16778
440	13451	16745
441	13480	16713
442	13512	16684
443	13542	16653
444	13573	16623
445	13603	16592
446	13632	16560
447	13659	16525
448	13690	16495
449	13721	16465
450	13751	16434
451	13780	16402
452	13811	16372
453	13837	16336
454	13867	16305
455	13899	16276
456	13930	16247
457	13958	16214
458	13988	16183
459	14017	16150
460	14049	16121
461	14079	16090
462	14107	16057
463	14139	16028
464	14172	16000
465	14206	15974
466	14238	15945
467	14277	15925
468	14310	15897
469	14344	15870
470	14378	15843
471	14411	15816
472	14444	15788
473	14475	15758
474	14504	15725
475	14534	15695
476	14567	15666
477	14601	15640
478	14631	15609
479	14660	15576
480	14693	15548
481	14727	15521
482	14758	15491
483	14788	15460
484	14819	15430
485	14851	15401
486	14883	15372
487	14914	15342
488	14946	15313
489	14977	15283
490	15007	15252
491	15036	15220
492	15065	15188
493	15097	15158
494	15128	15128
495	15162	15101
496	15193	15070
497	15229	15046
498	15261	15016
499	15295	14989
500	15330	14963
501	15362	14933
502	15396	14906
503	15430	14878
504	15461	14849
505	15493	14820
506	15527	14792
507	15555	14759
508	15584	14727
509	15615	14697
510	15645	14665
511	15676	14635
512	15709	14606
513	15738	14575
514	15770	14545
515	15800	14514
516	15831	14484
517	15860	14452
518	15890	14420
519	15923	14392
520	15957	14364
521	15988	14334
522	16018	14303
523	16051	14274
524	16081	14243
525	16113	14214
526	16152	14191
527	16188	14165
528	16226	14140
529	16258	14110
530	16289	14080
531	16322	14051
532	16352	14021
533	16382	13989
534	16412	13957
535	16440	13925
536	16470	13893
537	16500	13862
538	16531	13832
539	16560	13800
540	16592	13770
541	16621	13739
542	16651	13707
543	16680	13675
544	16710	13644
545	16742	13614
546	16774	13585
547	16805	13554
548	16840	13527
549	16877	13502
550	16910	13473
551	16942	13443
552	16971	13411
553	17000	13379
554	17029	13347
555	17060	13317
556	17091	13286
557	17120	13254
558	17156	13228
559	17189	13199
560	17218	13167
561	17247	13134
562	17274	13101
563	17300	13067
564	17330	13036
565	17359	13004
566	17391	12974
567	17421	12943
568	17451	12912
569	17481	12881
570	17509	12848
571	17539	12817
572	17567	12784
573	17597	12753
574	17627	12722
575	17656	12690
576	17686	12659
577	17717	12629
578	17747	12597
579	17776	12565
580	17805	12534
581	17834	12502
582	17863	12470
583	17896	12441
584	17931	12414
585	17966	12386
586	18002	12359
587	18033	12329
588	18063	12297
589	18093	12266
590	18126	12237
591	18155	12206
592	18187	12175
593	18218	12145
594	18249	12115
595	18279	12084
596	18309	12052
597	18338	12021
598	18367	11989
599	18397	11958
600	18429	11928
601	18459	11897
602	18491	11867
603	18522	11837
604	18550	11804
605	18577	11771
606	18609	11741
607	18639	11711
608	18669	11679
609	18698	11648
610	18729	11617
611	18758	11586
612	18787	11554
613	18818	11524
614	18849	11493
615	18875	11460
616	18905	11428
617	18935	11398
618	18967	11367
619	18998	11338
620	19030	11307
621	19061	11277
622	19091	11246
623	19125	11217
624	19153	11185
625	19184	11155
626	19214	11124
627	19245	11093
628	19275	11062
629	19304	11030
630	19333	10999
631	19361	10967
632	19392	10937
633	19422	10905
634	19451	10874
635	19480	10842
636	19508	10810
637	19537	10779
638	19568	10748
639	19597	10717
640	19626	10685
